ID,Title,Location,Salary,Summary
job_08f44dbc98b82482,[피파온라인4] Software Engineer (DBA & Data Engineering),서울,"Data Engineering 관련 경력 3년 이상 Linux, Cloud 환경에서 Javascript, Python을 통한 서비스 개발 경험 대규모 데이터 분산처리 시스템을 개발 및 운영하였거나 관련 오픈소스 기술 경험..."
job_4389736e058f4f69,Data Engineer-Eng,서울 강남구,모바일·게임>빅데이터·AI(인공지능)>인공지능(AI)|인터넷·IT·통신·모바일·게임>빅데이터·AI(인공지능)> Python|인터넷·IT·통신·모바일·게임>빅데이터·AI(인공지능)>데이터분석|인터넷·IT·통신·모바일·게임>통신...
job_774afc35e3ec6e5a,[AI/Lab] Recommendation System 리서치 엔지니어 (전문연구요원 가능),서울,있으신 분 논문을 빠르고 정확하게 이해하고 구현할 수 있으신 분 최신 추천 기술 동향을 파악하고 계신 분 Python 사용 능력이 능숙하신 분 ※ 참고사항 : 해당 직군은 상세 경력기술서 제출이 필수입니다. 이런 분은...
job_946014e8c4501212,Backend Engineer,서울,"젝트를 공개하고 지속적인 기여를 통해 프로젝트를 발전시킵니다. 자격요건 - 하나 이상의 프로그래밍 언어( Python, Golang, C++, ...)를 능숙하게 사용하시는 분 - AWS, GCP, Azure 등 Cloud..."
job_9ebe2c394b6cfcab,Senior Server Engineer,서울 영등포구,"개발자들에게 코칭 제공 자격 요건 5년 이상 서버 엔지니어링 경험 보유 Golang/Java(Kotlin)/ Python 중 하나 이상에 전문성을 보유, 고도화된 서비스 설계 및 개발 경험 보유 금융관련 IT 업무 경력 보유자..."
job_8e53a83882340b05,"[Consumer Health] Associate Manager, eCommerce Data Analytic...",서울,intelligence methods and techniques - Proficiency in Python/R... knowledge of database query and data manipulation...
job_a364f937ff9aa591,Advanced Support Engineer / Database & Cloud,서울,"Open Source Software like Docker, Python, Kubernetes, Ansible, Jenkins, Corosync... Kubernetes - Python Detailed..."
job_3292e81e43884c67,Web 개발(이커머스 파트)_PHP/CodeIgniter/Javascript,서울 마포구,익숙하신 분 개발 환경 - Mysql - PHP / CodeIgniter - Javascript - Python / Django - Git / Github / Git flow 업무 역량 (1) 문제인식 주어진 상황이나...
job_cd9f0ad81f2628c3,[경력] Growth Data Analyst,서울,"실행에 이르기까지 데이터 분석의 전 과정을 능숙하게 진행하실 수 있는 분 - SQL 활용능력이 우수하고, Python/R 등 데이터분석을 위한 프로그래밍 역량을 가지신 분 - 태블로를 활용한 비즈니스 리포팅이나 대시보드 관리..."
job_8358c9b239d656e9,[Platform Engineering] Machine Learning Ops Engineer,서울,학사 이상) ㅇ Kubernetes 관련 경험 ㅇ CI/CD 시스템 구축 역량 ㅇ 컨테이너에 대한 이해 ㅇ Python/C++/shell/go/Java 중 하나에 능숙 • 우대사항 ㅇ kubeflow 경험 ㅇ Deep...
